ID,Name,Released,Year,Score,RatingCount,Director
17877,Broke            ,1,,4.6,982,Alex Herschlag
17986,Gutterballs(2008) ,1,2008,4.6,3110,Ryan Nicholson
18095,Freddy Got Fingered(2001) ,1,2001,4.6,45703,Tom Green
18204,Precious Cargo(2016) ,1,2016,4.6,8435,Max Adams
18313,Junior(1994) ,1,1994,4.6,64360,Ivan Reitman
18422,Leprechaun 2(1994) ,1,1994,4.6,8826,Rodman Flender
18531,Jack Frost(1997) ,1,1997,4.6,7830,Michael Cooney
18640,Johnny Be Good(1988) ,1,1988,4.6,6062,Bud S. Smith
18749,Alex & The List(2017) ,1,2017,4.6,1075,Harris Goldberg
18858,The Lost Empire(1984) ,1,1984,4.6,1071,Jim Wynorski
18967,Faith Based(2020) ,1,2020,4.6,303,Vincent Masciale
19076,Secret Society of Second-Born Royals(2020) ,1,2020,4.7,2354,Anna Mastro
19185,MILF(2018) ,1,2018,4.7,3894,Axelle Laffont
19294,Howard the Duck(1986) ,1,1986,4.7,42659,Willard Huyck
19403,Bullets of Justice(2019) ,1,2019,4.7,351,Valeri Milev
19512,Zoolander 2(2016) ,1,2016,4.7,64034,Ben Stiller
19621,Slumber Party Massacre II(1987) ,1,1987,4.7,4595,Deborah Brock
19730,Malibu Express(1985) ,1,1985,4.7,1744,Andy Sidaris
19839,Night of the Demons(2009) ,1,2009,4.7,7079,Adam Gierasch
19948,Confessions of a Teenage Drama Queen(2004) ,1,2004,4.7,27255,Sara Sugarman
20057,Attack of the Killer Tomatoes!(1978) ,1,1978,4.7,12445,John De Bello
20166,Monkeybone(2001) ,1,2001,4.7,16588,Henry Selick
20275,A Haunted House 2(2014) ,1,2014,4.7,19507,Michael Tiddes
20384,The Marine(2006) ,1,2006,4.7,32143,John Bonito
20493,Dr. Dolittle 2(2001) ,1,2001,4.7,41415,Steve Carr
20602,Dead Before Dawn 3D(2012) ,1,2012,4.7,3313,April Mullen
20711,Madea's Big Happy Family(2011) ,1,2011,4.7,7419,Tyler Perry
20820,Saturday the 14th(1981) ,1,1981,4.7,3516,Howard R. Cohen
20929,The ABCs of Death(2012) ,1,2012,4.7,17974,Kaare Andrews
21038,Deuce Bigalow: European Gigolo(2005) ,1,2005,4.7,48185,Mike Bigelow
21147,The Santa Clause 3: The Escape Clause(2006) ,1,2006,4.7,31838,Michael Lembeck
21256,The Return of Swamp Thing(1989) ,1,1989,4.7,4243,Jim Wynorski
21365,A Christmas Proposal(2008) ,1,2008,4.7,511,Michael Feifer
21474,"Surfer, Dude(2008) ",1,2008,4.7,8300,S.R. Bindler
21583,Charlie's Angels(2019) ,1,2019,4.8,53331,Elizabeth Banks
21692,Downhill(2020) ,1,2020,4.8,6940,Nat Faxon
21801,The Very Excellent Mr. Dundee(2020) ,1,2020,4.8,709,Dean Murphy
21910,Leprechaun(1993) ,1,1993,4.8,23265,Mark Jones
22019,Seed of Chucky(2004) ,1,2004,4.8,38387,Don Mancini
22128,The Ridiculous 6(2015) ,1,2015,4.8,43718,Frank Coraci
22237,Bewitched(2005) ,1,2005,4.8,68602,Nora Ephron
22346,Sistas            ,1,,4.8,449,Tyler Perry
22455,The Layover(2017) ,1,2017,4.8,12856,William H. Macy
22564,Virgin Territory(2007) ,1,2007,4.8,7482,David Leland
22673,Nobody's Fool(2018) ,1,2018,4.8,6249,Tyler Perry
22782,Zombeavers(2014) ,1,2014,4.8,16563,Jordan Rubin
22891,Shake It Up            ,1,,4.8,11256,Chris Thompson
23000,Playmobil: The Movie(2019) ,1,2019,4.8,3096,Lino DiSalvo
23109,High School Musical 3: Senior Year(2008) ,1,2008,4.8,57180,Kenny Ortega
23218,Killing Gunther(2017) ,1,2017,4.8,11541,Taran Killam
23327,Herbie Fully Loaded(2005) ,1,2005,4.8,44679,Angela Robinson
23436,American Pie Presents: The Book of Love(2009) ,1,2009,4.8,43491,John Putch
23545,"Legally Blonde 2: Red, White & Blonde(2003) ",1,2003,4.8,60720,Charles Herman-Wurmfeld
23654,Fearless(2020) ,1,2020,4.8,931,Cory Edwards
23763,Flesh Gordon(1974) ,1,1974,4.8,3861,Michael Benveniste
23872,The Queen's Corgi(2019) ,1,2019,4.8,5190,Vincent Kesteloot
23981,Teenage Mutant Ninja Turtles III(1993) ,1,1993,4.8,30649,Stuart Gillard
24090,Cannibal Women in the Avocado Jungle of Death(1989) ,1,1989,4.8,2566,J.F. Lawton
24199,Happy Family(2017) ,1,2017,4.8,3924,Holger Tappe
24308,All About Steve(2009) ,1,2009,4.8,39398,Phil Traill
24417,Double Team(1997) ,1,1997,4.8,31214,Hark Tsui
24526,Crocodile Dundee in Los Angeles(2001) ,1,2001,4.8,23286,Simon Wincer
24635,Purple People Eater(1988) ,1,1988,4.8,908,Linda Shayne
24744,The Animal(2001) ,1,2001,4.8,56633,Luke Greenfield
24853,Gas Pump Girls(1979) ,1,1979,4.8,595,Joel Bender
24962,Twixt(2011) ,1,2011,4.8,10332,Francis Ford Coppola
25071,Dog with a Blog            ,1,,4.8,5259,Michael B. Kaplan
25180,The Secret Life of the American Teenager            ,1,,4.9,19065,Brenda Hampton
25289,The Flintstones(1994) ,1,1994,4.9,74878,Brian Levant
25398,Cool World(1992) ,1,1992,4.9,20537,Ralph Bakshi
25507,Charlie's Angels: Full Throttle(2003) ,1,2003,4.9,120072,McG
25616,Star Wars: Resistance            ,1,,4.9,3830,Carrie Beck
25725,"Honey, I Blew Up the Kid(1992) ",1,1992,4.9,40734,Randal Kleiser
25834,Hardbodies(1984) ,1,1984,4.9,3099,Mark Griffiths
25943,Year One(2009) ,1,2009,4.9,91111,Harold Ramis
26052,The Phantom(1996) ,1,1996,4.9,32056,Simon Wincer
26161,Porky's Revenge(1985) ,1,1985,4.9,7691,James Komack
26270,Sky Sharks(2020) ,1,2020,4.9,81,Marc Fehse
26379,"Oh, Ramona!(2019) ",1,2019,4.9,7754,Cristina Jacob
26488,Tammy and the T-Rex(1994) ,1,1994,4.9,2614,Stewart Raffill
26597,102 Dalmatians(2000) ,1,2000,4.9,34343,Kevin Lima
26706,Problem Child 2(1991) ,1,1991,4.9,20571,Brian Levant
26815,Ice Cream Man(1995) ,1,1995,4.9,3087,Norman Apstein
26924,Still Waiting...(2009) ,1,2009,4.9,5945,Jeff Balis
27033,Tammy(2014) ,1,2014,4.9,47473,Ben Falcone
27142,Blues Brothers 2000(1998) ,1,1998,4.9,31225,John Landis
27251,Porno(2019) ,1,2019,4.9,901,Keola Racela
27360,Survival of the Dead(2009) ,1,2009,4.9,20190,George A. Romero
27469,Road Trip: Beer Pong(2009) ,1,2009,4.9,11332,Steve Rash
27578,Beethoven's 2nd(1993) ,1,1993,4.9,25453,Rod Daniel
27687,Bullyparade: Der Film(2017) ,1,2017,4.9,2914,Michael Herbig
